,term,grade,emp_length,annual_inc,pymnt_plan,out_prncp_inv,delinq_2yrs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
81659,36.0,2.0,10.0,60000.0,0.0,13703.32,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
7301,36.0,2.0,10.0,53000.0,0.0,12053.24,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
82795,60.0,3.0,,60400.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
83355,36.0,4.0,2.0,27000.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
76209,36.0,3.0,10.0,63000.0,0.0,8965.23,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70242,60.0,2.0,5.0,325000.0,0.0,29024.06,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20738,36.0,4.0,10.0,93000.0,0.0,23107.18,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
92621,60.0,4.0,8.0,48000.0,0.0,9066.04,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57416,36.0,5.0,8.0,65000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
73505,36.0,4.0,10.0,100000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12490,36.0,4.0,7.0,35000.0,0.0,6015.88,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1586,60.0,2.0,,50000.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70913,36.0,3.0,0.0,33600.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35045,36.0,2.0,3.0,157000.0,0.0,26635.33,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
42421,36.0,4.0,10.0,75000.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46353,60.0,5.0,10.0,71000.0,0.0,0.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43291,60.0,3.0,4.0,58000.0,0.0,0.0,2.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43821,60.0,4.0,10.0,95000.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
78048,36.0,3.0,3.0,69000.0,0.0,0.0,3.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
54417,36.0,3.0,2.0,76000.0,0.0,10264.86,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22392,36.0,2.0,10.0,38000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50821,36.0,3.0,10.0,78000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68780,36.0,3.0,10.0,58000.0,0.0,6166.5,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
57901,36.0,4.0,10.0,16000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
61963,36.0,2.0,10.0,110000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61020,36.0,4.0,10.0,46228.0,0.0,8383.57,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
71850,60.0,3.0,1.0,65000.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
38643,36.0,2.0,3.0,27500.0,0.0,3863.11,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
66687,36.0,4.0,10.0,80000.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
33155,60.0,6.0,9.0,150000.0,0.0,16331.58,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70801,36.0,5.0,8.0,84000.0,1.0,6458.28,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42074,36.0,4.0,3.0,72000.0,0.0,14069.77,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19540,36.0,4.0,,36000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
95938,36.0,4.0,8.0,120000.0,0.0,24348.96,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
24349,36.0,2.0,,71663.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
53661,60.0,4.0,1.0,100000.0,0.0,10632.41,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4050,36.0,2.0,2.0,150000.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
17382,36.0,4.0,5.0,50000.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87970,36.0,3.0,2.0,80000.0,0.0,6648.55,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86114,36.0,3.0,10.0,62500.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55158,36.0,3.0,4.0,69000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
54650,36.0,4.0,5.0,89000.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
966,60.0,3.0,10.0,69600.0,0.0,22448.82,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89941,36.0,3.0,6.0,70000.0,0.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
89174,60.0,2.0,5.0,80000.0,0.0,9147.5,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46651,36.0,3.0,10.0,190000.0,0.0,22551.48,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
37483,36.0,2.0,10.0,54000.0,0.0,5669.59,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11965,36.0,4.0,1.0,41000.0,0.0,6017.8,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6232,36.0,3.0,10.0,85000.0,0.0,10932.85,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26575,36.0,5.0,7.0,73000.0,0.0,24058.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55815,36.0,2.0,1.0,47500.0,0.0,2721.8,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
59813,36.0,3.0,2.0,124800.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
69729,36.0,4.0,10.0,187000.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26122,36.0,2.0,5.0,83000.0,0.0,18129.92,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73603,36.0,2.0,10.0,159000.0,0.0,0.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68532,36.0,3.0,1.0,57480.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12060,60.0,6.0,3.0,95004.0,0.0,27495.55,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
43287,60.0,3.0,,40000.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
64909,36.0,3.0,0.0,24000.0,0.0,8216.35,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
27093,60.0,5.0,1.0,50000.0,0.0,15366.92,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
690,60.0,3.0,10.0,145000.0,0.0,18755.79,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1599,36.0,4.0,2.0,44000.0,0.0,0.0,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1575,36.0,2.0,1.0,38000.0,0.0,4686.29,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
59944,36.0,2.0,0.0,140000.0,0.0,0.0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
46341,36.0,4.0,,10988.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
26971,60.0,3.0,8.0,90500.0,0.0,28085.46,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37416,60.0,3.0,4.0,125000.0,0.0,29963.52,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
